Question,A,B,C,D,Correct,,
Which cathedral town were Chaucer's pilgrims travelling to?,Ely,Salisbury,Warwick,Canterbury,D,,
Bridget Jones's Diary' was originally a column in which newspaper?,Guardian,News of the World,Independent,Mail on Sunday,C,,
Which of these playwrights is best known for his farces?,Harold Pinter,John Osborne,Ray Cooney,Arthur Miller,C,,
"According to Shakespeare, ""a rose by any other name would"" what?",Feel as soft,Look as pretty,Smell as sweet,Grow as tall,C,,
"A ballet composed by Stravinsky was called ""The Rite of"" what?",Winter,Spring,Summer,Autumn,B,,
"In Anna Sewell's classic children's novel, what is Black Beauty?",Horse,Jewel,Car,Estate,A,,
"In German folklore, who is the dwarf who helps a miller's daughter spin gold out of straw?",Hansel,Rapunzel,Rumpelstiltskin,Cinderella,C,,
"In the comic strips, what is the name of Garfield's canine companion?",George,Rex,Jon,Odie,D,,
In which century did the movement called Pop Art flourish?,20th,19th,18th,17th,A,,
Lois Lane is a close associate of which comic book hero?,Wolverine,Spider-Man,Superman,Batman,C,,
"The 1928 sequel to ""Winnie-the-Pooh"" by A. A. Milne was called ""The House at"" what?",Pooh Place,Pooh Creek,Pooh Pond,Pooh Corner,D,,
The newspaper Le Monde is published in which country?,France,Germany,Italy,Netherlands,A,,
"What does the crocodile swallow in the story of ""Peter Pan""?",Alarm clock,Pocket watch,Dog collar,Piggy bank,A,,
What is Harry Potter's school house?,Ravenclaw,Hufflepuff,Slytherin,Gryffindor,D,,
"What nationality was the author of the novel ""The Three Musketeers""?",Swiss,French,Italian,Spanish,B,,
Where in a book would you normally find an epilogue?,At the start,In the middle,In the margin,At the end,D,,
"Which fictional hero is associated with the phrase ""Look! Up in the sky! It's a bird! It's a plane!""?",Batman,Spider-Man,Superman,The Flash,C,,
Which of these words means a summary or outline of a book?,Synergy,Synod,Synopsis,Syntax,C,,
"Which Shakespeare play features the line ""But soft! What light through yonder window breaks?""",Two Gentlemen of Verona,Julius Caesar,As You Like It,Romeo and Juliet,D,,
"According to the nursery rhyme, which Jack could eat no fat?",Minnow,Mackerel,Sprat,Tiddler,C,,
Complete the title of the radio programme: 'Desert Island...'?,Tapes,Records,Discs,CDs,C,,
"In 'Coronation Street', what was the first name of Mrs Tanner?",Annie,Elsie,Hilda,Minnie,B,,
"In 'Coronation Street', who married Fred Elliott?",Betty,Deirdre,Eve,Hayley,C,,
Jim Davidson is associated with which TV game show?,The Price is Right,The Generation Game,Family Fortunes,Supermarket Sweep,B,,
Participants in ITV's 'Soapstars' auditioned for roles in which TV show?,The Bill,Emmerdale,Coronation Street,Crossroads,B,,
What was the title of the long-running TV holiday programme presented by children for children?,Why Don't You....?',How Can You........?',Where Will You.....?',When Do You.....?',A,,
"Which of these musical instruments is nicknamed a ""squeeze box""?",Tambourine,Bagpipes,Harrmonica,Accordion,D,,
"A 2008 top 10 single for Rihanna was titled ""Don't Stop"" what?",The Boogie,The Rhythm,The Beat,The Music,D,,
"A cult classic murder-mystery series of 1990s television was called ""Twin..."" what?",Falls,Heights,Peaks,Valleys,C,,
"A Rogers and Hammerstein musical is titled ""South"" what?",Park,Fork,Side,Pacific,D,,
"A TV series starring Angela Lansbury was titled ""Murder, She"" what?",Committed,Saw,Says,Wrote,D,,
"According to the rhyme, what can be eaten when it's ""nine days old""?",Blue cheese,Curds and whey,Pease porridge,Blackbird pie,C,,
"According to the theme song of a movie, if there's something strange in your neighborhood, who you gonna call?",Goonies,Ghostbusters,The Mod Squad,The Breakfast Club,B,,
"According to the title of a 1968 hit single, Marvin Gaye ""heard it"" where?",Through the grapevine,On the street,Down the alley,In a love song,A,,
"According to the title of a 1988 film comedy, ""Earth Girls Are"" what?",Friendly,Easy,Strange,High maintenance,B,,
Captain Jean-Luc Picard was a character on which TV show?,Star Trek: The Next Generation,Battlestar Galactica,Doctor Who,The X Files,A,,
"Complete the cartoon canary Tweety's catchphrase, ""I tawt a taw a...""?",Bunny wabbit,Liddle mouse,Puddy tat,Thilly duck,C,,
"Complete the title of the 2002 film ""Bend It Like...""?",Bergkamp,Beckham,Berger,Beardsley,B,,
"Complete the title of the Julia Roberts film ""My Best Friend's...""?",Wedding,Birthday,Funeral,Dog,A,,
What is the first name of Charlie Sheen's actor father?,Malcolm,Michael,Marcus,Martin,D,,
"What is the name for a catalog of recordings, especially by one particular singer or group?",Discography,Discology,Discotheque,Discordance,A,,
"Where was Prince Philip, Duke of Edinburgh, born?",Spain,France,Argentina,Greece,D,,
Which of these airports is in Scotland?,Prestwick,Gatwick,Stansted,Lydd,A,,
Which of these locations is famous for its salts?,Derby,Bakewell,Epsom,Cheddar,C,,
Fuji and Suzuka are racing circuits in which country?,United States,Japan,Australia,India,B,,
Greenland is considered to be part of which continent?,Asia,Europe,North America,South America,C,,
Havana is the capital of which country?,Haiti,Cuba,Mexico,Puerto Rico,B,,
In which country is the famous shrine at Lourdes?,Belgium,Luxembourg,France,Switzerland,C,,
In which country was the Honda motor company founded?,Japan,France,Sweden,Germany,A,,
Robert Mugabe became president of which country in 1987?,South Africa,Jamaica,Zimbabwe,New Zealand,C,,
Savannah is a major port in which state?,Louisiana,Washington,Georgia,Oregon,C,,
The Mountain Standard time zone refers to which mountains?,Urals,Alps,Andes,Rockies,D,,
The Zulu people originate from which continent?,Africa,Asia,South America,Australia,A,,
What is the capital of Ethiopia?,Abisinia,Addis Abebba,Malawi,Luanda,B,,
What is the world's highest waterfall?,Heaven's Falls,Angel Falls,Saint Falls,Cherub Falls,B,,
What is the world's longest river?,Amazon,Nile,Danube,Mississippi,A,,
Where is 'colleen' a traditional name for a young woman?,England,Ireland,Scotland,Wales,B,,
"Where were the Hanging Gardens, one of the Seven Wonders of the World?",Thebes,Babylon,Rhodes,Alexandria,B,,
Which colors are used to refer to the two branches of the Nile River?,Blue and White,Red and White,Blue and Green,Yellow and Green,A,,
Which geographical feature is named after a letter of the Greek alphabet?,Esker,Kame,Delta,Mesa,C,,
Which German city has the highest population?,Berlin,Dusseldorf,Essen,Rostock,A,,
Which of these countries borders only one other?,Spain,Portugal,Norway,France,B,,
Which of these countries DOES NOT share a coast with the Mediterranean sea?,France,Serbia,Egypt,Morocco,B,,
What was the nickname of the British king Alfred?,The Great,The Splendid,The Brilliant,The Good,A,,
"In September 2001, Prince William started at which university?",Keele,Exeter,Saint Andrews,Durham,C,,
The official London residence of the British monarch was built for which duke?,Marlborough,Devonshire,Westminster,Buckingham,D,,
What was the original name of Sir Francis Drake's ship?,Puffin,Pigeon,Plover,Pelican,D,,
"A poem by Alfred Lord Tennyson is titled ""The Charge of the"" what?",Light Regiment,Light Division,Light Battalion,Light Brigade,D,,
Al Capone was famous during the early 20th century as a what?,Gangster,Minister,Politician,Playwright,A,,
Bastille Day is celebrated on which date?,January 14th,April 14th,July 14th,October 14th,C,,
"Before it was closed in 1963, what was Alcatraz?",Prison,Hospital,Race track,Theme park,A,,
"In 2007, Nicolas Sarkozy was elected president of which country?",France,Belgium,Switzerland,Spain,A,,
In which century did World War I take place?,17th,18th,19th,20th,D,,
In which modern country is the site of the Battle of Agincourt?,France,Austria,Spain,Belgium,A,,
"In World War II, Douglas Bader was best known as what?",Soldier,Sailor,Pilot,Politician,B,,
What was the nickname of gangster Al Capone?,Scarface,Babyface,Pretty Boy,Lucky,A,,
What was the surname of the explorer after whom America was named?,Cabot,Da Gama,Magellan,Vespucci,D,,
Which of these would have been most useful to Paul Cezanne while he was working?,Microscope,Paint brush,Sextant,Stethoscope,B,,
"Which one of these princes would call Queen Elizabeth ""Grandma""?",Prince Edward,Prince Philip,Prince Michael,Prince Harry,D,,
Which U.S. president was re-elected three times?,John Adams,Franklin Roosevelt,Harry Truman,Grover Cleveland,B,,
Where can you find all the words in the French language?,In a motor,In a garage,In a dictionary,In a lamp,C,,
"In French, why does the letter c sometimes have a cedilla on it, as in façade?","To give it an ""S"" sound","To give it a ""K"" sound","To give it a ""Q"" sound",For no reason,A,,
What is the infinitive form of the verb in the following sentence: “The soccer player scored a goal”?,To score,Scoring,Scorer,Scores,A,,
What is the infinitive form of the verb in the following sentence: “She really likes beans”?,Really,Beans,To like,She,C,,
What do hedgehogs mainly eat?,Meat,Grass,Insects,Candy,C,,
Which of these animals is not nocturnal?,A dormouse,An owl,A bat,A swallow,D,,
